全国地方公共団体コード,都道府県名,市区町村名,公表_年月日,集計区分,陽性者数
131016,東京都,千代田区,2021-10-15,市区町村,1834
131024,東京都,中央区,2021-10-15,市区町村,5623
131032,東京都,港区,2021-10-15,市区町村,9917
131041,東京都,新宿区,2021-10-15,市区町村,17731
131059,東京都,文京区,2021-10-15,市区町村,5234
131067,東京都,台東区,2021-10-15,市区町村,6499
131075,東京都,墨田区,2021-10-15,市区町村,7137
131083,東京都,江東区,2021-10-15,市区町村,13113
131091,東京都,品川区,2021-10-15,市区町村,11448
131105,東京都,目黒区,2021-10-15,市区町村,10135
131113,東京都,大田区,2021-10-15,市区町村,19131
131121,東京都,世田谷区,2021-10-15,市区町村,27615
131130,東京都,渋谷区,2021-10-15,市区町村,9807
131148,東京都,中野区,2021-10-15,市区町村,11962
131156,東京都,杉並区,2021-10-15,市区町村,15449
131164,東京都,豊島区,2021-10-15,市区町村,10590
131172,東京都,北区,2021-10-15,市区町村,9296
131181,東京都,荒川区,2021-10-15,市区町村,5687
131199,東京都,板橋区,2021-10-15,市区町村,14424
131202,東京都,練馬区,2021-10-15,市区町村,17314
131211,東京都,足立区,2021-10-15,市区町村,17549
131229,東京都,葛飾区,2021-10-15,市区町村,12305
131237,東京都,江戸川区,2021-10-15,市区町村,18114
132012,東京都,八王子市,2021-10-15,市区町村,9674
132021,東京都,立川市,2021-10-15,市区町村,3231
132039,東京都,武蔵野市,2021-10-15,市区町村,3119
132047,東京都,三鷹市,2021-10-15,市区町村,3698
132055,東京都,青梅市,2021-10-15,市区町村,1664
132063,東京都,府中市,2021-10-15,市区町村,4322
132071,東京都,昭島市,2021-10-15,市区町村,1855
132080,東京都,調布市,2021-10-15,市区町村,4579
132098,東京都,町田市,2021-10-15,市区町村,6998
132101,東京都,小金井市,2021-10-15,市区町村,2111
132110,東京都,小平市,2021-10-15,市区町村,2919
132128,東京都,日野市,2021-10-15,市区町村,2795
132136,東京都,東村山市,2021-10-15,市区町村,2112
132144,東京都,国分寺市,2021-10-15,市区町村,2065
132152,東京都,国立市,2021-10-15,市区町村,1102
132187,東京都,福生市,2021-10-15,市区町村,1139
132195,東京都,狛江市,2021-10-15,市区町村,1445
132209,東京都,東大和市,2021-10-15,市区町村,1199
132217,東京都,清瀬市,2021-10-15,市区町村,1032
132225,東京都,東久留米市,2021-10-15,市区町村,1824
132233,東京都,武蔵村山市,2021-10-15,市区町村,1056
132241,東京都,多摩市,2021-10-15,市区町村,2094
132250,東京都,稲城市,2021-10-15,市区町村,1484
132276,東京都,羽村市,2021-10-15,市区町村,840
132284,東京都,あきる野市,2021-10-15,市区町村,1132
132292,東京都,西東京市,2021-10-15,市区町村,4058
133035,東京都,瑞穂町,2021-10-15,市区町村,409
133051,東京都,日の出町,2021-10-15,市区町村,165
133078,東京都,檜原村,2021-10-15,市区町村,12
133086,東京都,奥多摩町,2021-10-15,市区町村,55
133612,東京都,大島町,2021-10-15,市区町村,72
133621,東京都,利島村,2021-10-15,市区町村,1
133639,東京都,新島村,2021-10-15,市区町村,14
133647,東京都,神津島村,2021-10-15,市区町村,2
133817,東京都,三宅村,2021-10-15,市区町村,13
133825,東京都,御蔵島村,2021-10-15,市区町村,2
134015,東京都,八丈町,2021-10-15,市区町村,15
134023,東京都,青ヶ島村,2021-10-15,市区町村,0
134210,東京都,小笠原村,2021-10-15,市区町村,11
